ge_ect	ge_end	ge_mes	gene_type
-0.15	-6.56	-5.1	DifEct
-1.04	-6.19	-8.06	DifEct
-3.99	-6.66	-7.38	DifEct
-2.37	-7.07	-3.74	DifEct
-2.73	-5.18	-8.04	DifEct
-1.12	-6.19	-3.44	DifEct
2.35	-4.57	-2.77	DifEct
-2.23	-7.41	-4.54	DifEct
-1.06	-6.31	-8.17	DifEct
-4.54	-7.76	-6.31	DifEct
0.39	-6.25	-1.74	DifEct
-1.45	-5.07	-8.67	DifEct
-4.94	-7.61	-9.48	DifEct
-2.55	-6.9	-5.61	DifEct
-3.36	-8.01	-9.88	DifEct
1.39	-5.36	-1.89	DifEct
2.58	-0.86	-4.62	DifEct
1.52	-1.39	-1.11	DifEct
-3.34	-6.41	-6.11	DifEct
-2.43	-7.44	-9.31	DifEct
-2.86	-6.44	-5.15	DifEct
-3.87	-7.4	-9.27	DifEct
-4.56	-7.24	-9.1	DifEct
-2.14	-5.49	-4	DifEct
-2.05	-7.31	-7.44	DifEct
-0.27	-6.41	-8.28	DifEct
-2.94	-7.7	-9.56	DifEct
-1.35	-7.16	-9.02	DifEct
0.31	-4.68	-3.64	DifEct
1.39	-6.1	-7.96	DifEct
-3.15	-5.63	-7.5	DifEct
0.96	-1.46	-1.41	DifEct
-3.28	-7.84	-9.7	DifEct
-1.37	-7.58	-7.71	DifEct
-5.34	-8.18	-6.73	DifEct
2.36	-0.38	0.18	DifEct
-1.04	-4.67	-6.54	DifEct
1.62	-2.77	-2.56	DifEct
-3.99	-7.19	-9.05	DifEct
-2.86	-5.86	-7.73	DifEct
1.34	-1.2	-2.63	DifEct
-4.09	-6.67	-8.39	DifEct
-4.93	-7.51	-9.38	DifEct
0.88	-2.18	-1.4	DifEct
-2.91	-7.73	-9.6	DifEct
-1.23	-6.79	-5.07	DifEct
-2.1	-5.81	-7.68	DifEct
1.96	-6.14	-0.9	DifEct
-2.42	-6.65	-4.28	DifEct
-3.78	-6.54	-8.41	DifEct
4.07	-5.94	-1.83	DifEct
-0.77	-4.14	-2.53	DifEct
-1.49	-5.21	-7.07	DifEct
-2.49	-7.95	-5.41	DifEct
-1.58	-6.25	-8.12	DifEct
-0.89	-5.89	-7.75	DifEct
-2.87	-6.71	-8.58	DifEct
-1.83	-8.33	-5.87	DifEct
-1.91	-5.34	-7.21	DifEct
-2.82	-8.13	-10	DifEct
-2.7	-6.18	-4.31	DifEct
-5.66	-8.14	-10.01	DifEct
-1.55	-6.93	-8.8	DifEct
0.14	-3.28	-4.99	DifEct
1.06	-2.3	-1.53	DifEct
-1.78	-9.02	-3.51	DifEct
-2.05	-7.61	-3.6	DifEct
3.73	-3.01	-1.47	DifEct
0.2	-7.62	-7.34	DifEct
-3.31	-6.84	-5.97	DifEct
1.22	-6.52	-2.41	DifEct
-3.73	-7.1	-8.97	DifEct
-2.47	-7.23	-4.09	DifEct
-3.53	-7.01	-8.87	DifEct
-4.32	-6.81	-6.52	DifEct
-0.71	-6.18	-8.05	DifEct
-5.34	-7.82	-8.53	DifEct
-3.34	-7.95	-9.81	DifEct
-2.49	-5.48	-7.35	DifEct
-1.32	-5.48	-3.25	DifEct
-0.73	-7.92	-4.83	DifEct
-2.31	-6.72	-8.58	DifEct
-1.51	-8.06	-2.92	DifEct
2.34	-2.76	-0.79	DifEct
-2.38	-8.69	-6.94	DifEct
-3.5	-7.7	-6.61	DifEct
-3.74	-8.32	-10.18	DifEct
-0.4	-2.95	-8.4	DifEct
-3.82	-6.96	-8.82	DifEct
-2.78	-6.94	-8.81	DifEct
-3.57	-7.67	-9.53	DifEct
-2.41	-6.72	-8.59	DifEct
1.68	-1.59	-3.16	DifEct
-3.62	-6.3	-8.16	DifEct
-0.95	-4.87	-3.16	DifEct
-1.57	-5.32	-3.48	DifEct
-0.13	-3.68	-2.33	DifEct
-0.93	-5.46	-2.31	DifEct
-3.07	-6.2	-8.07	DifEct
-3.75	-6.75	-8.61	DifEct
-1.29	-4.18	-4.08	DifEct
-1.2	-4.3	-6.32	DifEct
-2.73	-6.86	-8.58	DifEct
-4.02	-7.65	-6.04	DifEct
-0.72	-5.04	-2.75	DifEct
-0.54	-3.81	-2.54	DifEct
-5.58	-8.65	-10.51	DifEct
-0.28	-7.07	-2.78	DifEct
-1.57	-7.85	-6.4	DifEct
-1.92	-6.47	-8.19	DifEct
-2.4	-6.02	-7.89	DifEct
0.1	-6.24	-1.68	DifEct
-2.46	-6.49	-5.89	DifEct
-3.73	-6.5	-8.36	DifEct
-3.43	-7.39	-9.26	DifEct
-3.49	-6.56	-5.1	DifEct
-1.9	-7.65	-4.56	DifEct
-1.05	-6.47	-8.49	DifEct
-2.42	-5.48	-7.35	DifEct
-0.81	-6.95	-8.82	DifEct
-2.01	-7.11	-8.97	DifEct
-2.53	-5.63	-5.82	DifEct
-1.12	-4.84	-4.62	DifEct
-3.12	-8.12	-9.99	DifEct
-3.43	-8.55	-5.45	DifEct
-0.33	-7.7	-5.41	DifEct
1.94	-1.2	0.16	DifEct
2.02	-0.48	0.36	DifEct
-1.65	-7.44	-8.16	DifEct
2.26	-2.39	-0.69	DifEct
-0.95	-4.21	-2.46	DifEct
-1.98	-4.61	-4.89	DifEct
-2.71	-6.75	-5.46	DifEct
-0.34	-4.5	-6.37	DifEct
-4.2	-9.05	-11.07	DifEct
-4.1	-6.94	-8.81	DifEct
-3.63	-6.94	-8.66	DifEct
-4.49	-6.97	-8.84	DifEct
-3.38	-8.58	-10.3	DifEct
-1.85	-8.96	-7.5	DifEct
-4.52	-7.2	-9.06	DifEct
0.27	-2.26	-2.24	DifEct
-4.76	-8.08	-9.94	DifEct
-5.25	-7.73	-9.6	DifEct
-2.98	-6.9	-8.76	DifEct
-2.72	-6.14	-4.86	DifEct
-0.2	-5.32	-8.92	DifEct
-2.29	-6.05	-4.31	DifEct
-2.22	-8.07	-7.47	DifEct
-5.79	-9.11	-10.98	DifEct
-5.27	-7.75	-6.65	DifEct
0.75	-6.72	-8.59	DifEct
0.19	-3.11	-1.75	DifEct
-3.7	-6.18	-5.08	DifEct
3.07	0.63	0.53	DifEct
1.83	-0.69	-0.75	DifEct
2.6	-1.1	-2.78	DifEct
-3.01	-6.97	-5	DifEct
0.45	-6.96	-8.83	DifEct
6.95	2.29	-0.52	DifEct
-1.56	-7.34	-9.06	DifEct
-0.58	-6.13	-4.68	DifEct
-2.03	-5.44	-4.9	DifEct
2.92	0.08	-0.39	DifEct
-5.19	-7.86	-9.73	DifEct
0.32	-2.92	-7.74	DifEct
-2.93	-8.39	-6.93	DifEct
1.76	-5.39	-7.26	DifEct
-0.41	-5.97	-5.36	DifEct
-3.23	-6.84	-8.86	DifEct
-4.78	-7.78	-9.64	DifEct
-3.31	-7.84	-9.71	DifEct
2.79	0.18	0.86	DifEct
0.4	-3.37	-2.04	DifEct
-2.8	-6.86	-8.73	DifEct
-2.43	-8.01	-5.91	DifEct
-3.55	-7.27	-9.13	DifEct
-3.72	-6.3	-8.17	DifEct
-2.85	-6.65	-8.52	DifEct
-2.73	-6.11	-7.82	DifEct
-2.91	-7.31	-4.7	DifEct
-2.88	-7.92	-9.78	DifEct
-2.5	-5.02	-9.36	DifEct
-0.93	-5.26	-2.43	DifEct
-4.07	-8.24	-10.1	DifEct
1.82	-4.42	-0.49	DifEct
-5.21	-8.64	-7.18	DifEct
-2.19	-5.54	-9.14	DifEct
-2.57	-8.41	-10.27	DifEct
-3.53	-6.01	-4.91	DifEct
-1.6	-6.25	-8.12	DifEct
-2.11	-5.95	-3.73	DifEct
-1.1	-8.55	-10.41	DifEct
-3.08	-6.8	-5.93	DifEct
-3.64	-6.64	-8.51	DifEct
-0.38	-6.2	-6.33	DifEct
-2	-5.38	-5.5	DifEct
1.9	-0.85	0.36	DifEct
1.38	-1.2	-2.11	DifEct
2.38	-3.96	-2.59	DifEct
1.69	-1.87	-0.52	DifEct
-4.02	-7.15	-6.54	DifEct
-3.8	-7.75	-7.61	DifEct
-4.96	-7.72	-6.44	DifEct
-1.83	-7.11	-3.65	DifEct
-4.57	-7.57	-9.44	DifEct
1.61	-3.91	-2.01	DifEct
-4.36	-7.62	-7.02	DifEct
1.67	-6.64	-8.51	DifEct
1.46	-4.96	-2.52	DifEct
-2.66	-7.52	-4.85	DifEct
-4.83	-8.6	-10.46	DifEct
2.25	-3.28	0.25	DifEct
-1.88	-7.09	-6.48	DifEct
-4.93	-7.51	-9.38	DifEct
-2.53	-6.87	-8.74	DifEct
-3.6	-7.18	-9.04	DifEct
-4.32	-7.69	-9.56	DifEct
-3.96	-6.48	-7.35	DifEct
-5.89	-9.52	-8.64	DifEct
-0.58	-3.02	-2.5	DifEct
-4.96	-8.1	-9.96	DifEct
-3.7	-8.96	-10.67	DifEct
-2.23	-7.8	-4.71	DifEct
-0.46	-5.67	-7.54	DifEct
-1.22	-6.63	-4.88	DifEct
-3.2	-7.6	-9.46	DifEct
-1.18	-4.71	-6.57	DifEct
-3.82	-7.58	-9.45	DifEct
-2.98	-6.78	-8.65	DifEct
-0.14	-2.61	-1.72	DifEct
-3.08	-6.22	-8.08	DifEct
-2.13	-5.89	-7.76	DifEct
-0	-3.75	-3.68	DifEct
-2.9	-8.03	-9.9	DifEct
-2.18	-6.91	-5.78	DifEct
3.72	0.22	2.14	DifEct
-4.52	-9.36	-7.27	DifEct
-1.41	-3.88	-8.49	DifEct
2.2	-3.51	-1.18	DifEct
-5.01	-8.44	-10.31	DifEct
1.59	-1.3	-2.79	DifEct
-4.81	-8.95	-6.34	DifEct
-1.82	-8.45	-4.88	DifEct
-1.66	-7.7	-9.42	DifEct
-3.09	-8.63	-10.5	DifEct
-5.29	-8.55	-10.41	DifEct
0.95	-1.59	-1.63	DifEct
-1.09	-6.21	-8.08	DifEct
-4.27	-6.86	-6.25	DifEct
0.88	-7.92	-3.21	DifEct
-0.79	-3.3	-2.16	DifEct
-0.11	-6.99	-4.79	DifEct
-3.04	-6.37	-9.39	DifEct
-0.75	-7.17	-2.59	DifEct
-3.46	-7.26	-5.98	DifEct
0.21	-5.52	-1.95	DifEct
-3.01	-7.18	-5.31	DifEct
0.42	-7.59	-9.3	DifEct
-2.42	-5.53	-8.55	DifEct
-2.2	-8.01	-9.72	DifEct
-1.01	-7.83	-3.47	DifEct
-1.81	-6.76	-4.29	DifEct
-1.07	-7.1	-8.96	DifEct
-4.42	-6.9	-6.61	DifEct
-4.86	-8.06	-9.92	DifEct
-3.39	-7.49	-9.36	DifEct
0.9	-6.49	-8.36	DifEct
-2.98	-5.82	-7.69	DifEct
-1.87	-8.49	-7.78	DifEct
-3.69	-6.95	-8.82	DifEct
-1.56	-5.41	-6.12	DifEct
-4.94	-8.26	-10.12	DifEct
-1.76	-7.58	-9.45	DifEct
-2.99	-7.88	-4.73	DifEct
-1.33	-6.49	-9.51	DifEct
-0.28	-4.66	-5.68	DifEct
0.2	-2.31	-2.56	DifEct
-2.65	-5.65	-7.51	DifEct
-2.93	-7.86	-9.88	DifEct
-4.12	-8.15	-10.02	DifEct
-1.27	-6.22	-9.82	DifEct
-2.79	-8.23	-10.1	DifEct
-4.1	-7.17	-9.04	DifEct
-2.46	-5.13	-4.85	DifEct
-3.41	-7.29	-9.16	DifEct
-3.68	-7.31	-9.18	DifEct
-4.01	-7.85	-7.98	DifEct
-2.66	-6.76	-8.62	DifEct
-0.46	-7.09	-3.8	DifEct
-2.3	-7.56	-9.42	DifEct
-2.45	-7.75	-9.62	DifEct
-2.72	-5.64	-7.51	DifEct
-3.77	-8.06	-8.77	DifEct
0.09	-3.32	-1.89	DifEct
-0.75	-3.78	-2.12	DifEct
-0.76	-5.04	-5.1	DifEct
-3.05	-7.09	-8.95	DifEct
-2.79	-8.05	-9.91	DifEct
-4.5	-8.13	-10	DifEct
-3.57	-7.92	-9.78	DifEct
-3.36	-7.49	-9.36	DifEct
0.82	-7.4	-5.8	DifEct
-0.1	-7.12	-2.6	DifEct
-0.63	-6.26	-8.13	DifEct
2.75	0.18	-0.79	DifEct
-2.78	-7.77	-5.4	DifEct
-3.39	-7.59	-4.84	DifEct
-0.88	-6.27	-3.28	DifEct
-0.19	-8.33	-2.39	DifEct
-2.35	-8.26	-10.12	DifEct
-0.7	-7.61	-3.49	DifEct
-3.08	-6.34	-8.2	DifEct
-3.33	-5.91	-7.62	DifEct
-0	-2.83	-1.86	DifEct
-1.74	-6.9	-8.77	DifEct
-6.36	-8.84	-10.71	DifEct
-2.86	-7.21	-9.08	DifEct
-2.6	-7.03	-8.9	DifEct
-1.15	-6.22	-4.35	DifEct
-4.8	-7.79	-9.51	DifEct
-3.2	-6.63	-8.5	DifEct
-0.37	-4.5	-6.72	DifEct
-4.51	-7.09	-7.81	DifEct
-1.27	-5.64	-9.66	DifEct
-4.61	-7.99	-7.38	DifEct
-0.3	-3.26	-3.84	DifEct
-3.43	-7.53	-9.39	DifEct
-1.94	-6.26	-5.97	DifEct
-1.77	-8.26	-3.33	DifEct
-3.92	-8.48	-5.73	DifEct
-2.49	-5.75	-7.61	DifEct
-0.79	-5.3	-8.9	DifEct
-0.07	-6.88	-8.75	DifEct
-4.23	-8.43	-10.29	DifEct
-3.17	-6.8	-6.93	DifEct
-3.86	-6.62	-7.33	DifEct
-2.28	-7.25	-4.97	DifEct
-0.92	-3.49	-6.51	DifEct
-2.2	-5.58	-4.74	DifEct
-0.36	-7.06	-2.52	DifEct
-2.47	-6.39	-4.11	DifEct
-0.51	-8.06	-9.77	DifEct
-3.97	-7.17	-9.04	DifEct
1	-3.9	-0.35	DifEct
-2.64	-5.99	-6.75	DifEct
-5.35	-9.38	-11.24	DifEct
-3.81	-7.34	-9.2	DifEct
-0.76	-6.68	-2.67	DifEct
-2.11	-7.83	-9.7	DifEct
-1.89	-8.08	-9.79	DifEct
-1.92	-5.18	-3.98	DifEct
-1.56	-6.97	-8.68	DifEct
1.66	-2.32	-0.75	DifEct
-0.17	-4.37	-3.23	DifEct
-2.86	-6.22	-4.56	DifEct
-3.75	-8.18	-10.05	DifEct
-3.74	-7.62	-9.33	DifEct
1.57	-1.99	0.1	DifEct
-2.08	-4.92	-4.02	DifEct
-3.5	-8.27	-6.09	DifEct
-2.4	-6.08	-7.94	DifEct
-1.11	-6.37	-8.23	DifEct
-2.09	-6.67	-5.38	DifEct
-4.65	-7.13	-7.85	DifEct
-5.25	-9.41	-11.28	DifEct
3.17	-0.14	-2.41	DifEct
-0.6	-3.51	-4.05	DifEct
-0.04	-5.98	-2.69	DifEct
-0.56	-5.94	-7.8	DifEct
-3.26	-7.71	-9.58	DifEct
-1.68	-6.18	-5.09	DifEct
-2.85	-6.85	-8.71	DifEct
-0.24	-7.28	-2.49	DifEct
-1.86	-6.69	-3.54	DifEct
-0.28	-6.78	-3.74	DifEct
-3.44	-7.82	-9.68	DifEct
0.81	-3.17	-2.9	DifEct
-1.06	-6.07	-6.79	DifEct
-2.81	-7.07	-8.93	DifEct
-0.99	-3.72	-4.68	DifEct
-1.62	-5.56	-4.51	DifEct
-2.29	-6.69	-7.4	DifEct
-2.77	-5.32	-9.33	DifEct
-0.33	-4.3	-6.58	DifEct
-1.57	-7.34	-3.41	DifEct
-2.44	-7.32	-5.34	DifEct
-1.17	-4.22	-2.85	DifEct
-4.33	-7.52	-9.39	DifEct
