bin	line
11	34.26
11.05	31.44
11.1	27.81
11.15	27.59
11.200000000000001	26.85
11.25	27.19
11.3	26.37
11.35	27.89
11.4	29.15
11.450000000000001	30.7
11.5	29.74
11.55	28.59
11.6	26.85
11.65	26.33
11.700000000000001	24.96
11.75	24.07
11.8	22.67
11.85	23.93
11.9	25.15
11.950000000000001	27.7
12	27.11
12.05	26.89
12.1	23.7
12.15	22.33
12.200000000000001	19.96
12.25	20.93
12.3	20.56
12.35	21.26
12.4	20.44
12.450000000000001	22.63
12.5	24.74
12.55	27.56
12.6	27.22
12.65	26.59
12.700000000000001	24.78
12.75	24.19
12.8	22.89
12.85	22.07
12.9	20.07
12.950000000000001	19.3
13	18.85
13.05	22
13.1	24.67
13.15	28.11
13.200000000000001	27.19
13.25	26.3
13.3	23
13.35	22.81
13.4	22.44
13.450000000000001	25.33
13.5	26.22
13.55	28.37
13.6	28.22
13.65	30.7
13.700000000000001	31.44
13.75	33.63
13.8	33.11
13.85	34
13.9	32.96
13.950000000000001	32.78
14	30.37
14.05	29.52
14.1	27.96
14.15	28.74
14.200000000000001	27.7
14.25	28
14.3	26.3
14.35	26.56
14.4	24.37
14.450000000000001	23.26
14.5	20.3
14.55	20.89
14.6	21.81
14.65	25.74
14.700000000000001	27.67
14.75	30.26
14.8	30.15
14.85	30.74
14.9	29.7
14.950000000000001	30.63
15	30.96
15.05	31.7
15.1	29.78
15.15	27.15
15.200000000000001	24.96
15.25	25.22
15.3	26.85
15.35	27.7
15.4	26.56
15.450000000000001	24.07
15.5	20.89
15.55	18.15
15.6	15.56
15.65	16.15
15.700000000000001	19.07
15.75	25.22
15.8	28.96
15.85	31.19
15.9	29.59
15.950000000000001	29.63
16	29.15
16.05	30.67
16.1	29.89
16.15	29.41
16.2	27.15
16.25	26.37
16.3	25.89
16.35	27.33
16.4	27.96
16.45	28.63
16.5	27.74
16.55	27.93
16.6	26.59
16.65	26.04
16.7	23.67
16.75	23.56
16.8	23.15
16.85	25.41
16.9	26.26
16.95	27.22
17	26.3
17.05	26.04
17.1	26.48
17.150000000000002	27
17.2	26.93
17.25	25.44
17.3	23.85
17.35	21.63
17.400000000000002	19.67
17.45	17.81
17.5	17.26
17.55	17.93
17.6	20.19
17.650000000000002	22.59
17.7	23.3
17.75	21.44
17.8	18.67
17.85	17.89
17.900000000000002	19.3
17.95	21.85
18	22.81
18.05	23.78
18.1	24.56
18.150000000000002	28.11
18.2	29.93
18.25	30.59
18.3	26.81
18.35	24.63
18.400000000000002	23.3
18.45	26.11
18.5	27.85
18.55	29.67
18.6	28.33
18.650000000000002	28.15
18.7	27.11
18.75	27.59
18.8	26
18.85	26.15
18.900000000000002	26.33
18.95	29.19
19	29.81
19.05	30.48
19.1	28.81
19.150000000000002	28.56
19.2	27.19
19.25	27.56
19.3	27.44
19.35	29.37
19.400000000000002	30.41
19.45	32.74
19.5	32.74
19.55	32.81
19.6	29.44
19.650000000000002	27.22
19.7	23.78
19.75	23.26
19.8	21.74
19.85	20.96
19.900000000000002	17.85
19.95	14.89
20	12.83
