GE	layer
6.48	Ect
5.6	Ect
5.12	Ect
5.08	Ect
9.17	Ect
5.82	Ect
4.02	Ect
6.08	Ect
5.81	Ect
4.83	Ect
6.55	Ect
4.9	Ect
5.93	Ect
9.14	Ect
6.26	Ect
3.59	Ect
5.71	Ect
4.6	Ect
5.93	Ect
2.56	Ect
6.34	Ect
5.58	Ect
6.67	Ect
5.51	Ect
6.51	Ect
4.06	Ect
6.2	Ect
5.6	Ect
6.01	Ect
4.11	Ect
6.23	Ect
2.08	Ect
4.88	Ect
6.83	Ect
6.45	Ect
5.33	Ect
5.27	Ect
7.82	Ect
8.76	Ect
9.65	Ect
7.27	Ect
4.29	Ect
7.96	Ect
4.78	Ect
5.9	Ect
2.53	Ect
8.96	Ect
4	Ect
9.44	Ect
5.99	Ect
4.72	Ect
8.34	Ect
3.56	Ect
2.52	Ect
2.52	Ect
6.25	Ect
7.39	Ect
4.33	Ect
7.94	Ect
4.52	Ect
7.66	Ect
7.14	Ect
4.68	Ect
6.17	Ect
5.39	Ect
9.13	Ect
7.55	Ect
3.7	Ect
4.31	Ect
6.52	Ect
8.98	Ect
5.96	Ect
5.15	Ect
5.13	Ect
3.03	Ect
4.16	Ect
9.9	Ect
10.84	Ect
1.77	Ect
5.37	Ect
6.06	Ect
7.1	Ect
4.45	Ect
6.17	Ect
9.83	Ect
5.04	Ect
4.22	Ect
7.82	Ect
4.81	Ect
7.58	Ect
5.88	Ect
7.74	Ect
4.08	Ect
5.08	Ect
4.47	Ect
8.44	Ect
5.57	Ect
9.44	Ect
7.53	Ect
5.59	Ect
7.89	Ect
8.65	Ect
5.8	Ect
5.98	Ect
5.16	Ect
4.28	Ect
10.02	Ect
7.49	Ect
7.85	Ect
4.58	Ect
7.13	Ect
6.04	Ect
6.5	Ect
8.73	Ect
5.58	Ect
6.21	Ect
6.22	Ect
9.12	Ect
9.68	Ect
9.58	Ect
6.59	Ect
7.82	Ect
5.65	Ect
9.22	Ect
5.95	Ect
4.34	Ect
5.47	Ect
5.33	Ect
8.98	Ect
4.71	Ect
8.15	Ect
5	Ect
5.99	Ect
10.58	Ect
7.45	Ect
5.9	Ect
6.64	Ect
10.07	Ect
9.55	Ect
9	Ect
4.96	Ect
3.8	Ect
4.51	Ect
3.75	Ect
4.63	Ect
2.73	Ect
5.48	Ect
8.28	Ect
4.27	Ect
2.52	Ect
6.79	Ect
6.2	Ect
10.05	Ect
3.23	Ect
5.72	Ect
4.72	Ect
8.38	Ect
8.29	Ect
5.33	Ect
4.2	Ect
7.15	Ect
7.77	Ect
7.59	Ect
7.14	Ect
7.63	Ect
5.28	Ect
5.92	End
9.4	End
8.27	End
7.93	End
9.03	End
5.38	End
5.16	End
6.33	End
7.75	End
7.68	End
8.32	End
8.2	End
9.87	End
7.18	End
3.96	End
1.92	End
4.49	End
3.81	End
3.99	End
6.56	End
10.13	End
