v	layers
3.23	Ect
2.84	Ect
3.64	Ect
4.85	Ect
2.42	Ect
3.76	Ect
4.51	Ect
1.2	Ect
-2.04	Ect
-0.97	Ect
4.52	Ect
5.2	Ect
0.9	Ect
-2.58	Ect
-8.98	Ect
-8.79	Ect
-7.18	Ect
-7.31	Ect
-4.04	Ect
-7.56	Ect
-8.35	Ect
3.13	Ect
-5.63	Ect
3.77	Ect
3.79	Ect
3.82	Ect
4.53	Ect
4.42	Ect
-0.13	Ect
-8.86	Ect
1.82	Ect
-4.22	Ect
-8.62	Ect
-3.16	Ect
2.62	Ect
-7.46	Ect
2.55	Ect
5.11	Ect
-4.37	Ect
-2.58	Ect
-1.77	Ect
-8	Ect
0.02	Ect
-7.83	Ect
-7.04	Ect
-7.1	Ect
-0.06	Ect
-1.67	Ect
-0.24	Ect
-0.51	Ect
-6.91	Ect
-7.01	Ect
-8.91	Ect
-9.84	Ect
-8.87	Ect
-8.53	Ect
-8.86	Ect
-8.24	Ect
-7.84	Ect
-7.79	Ect
-8.07	Ect
-7.91	Ect
-7.75	Ect
-2.6	Ect
-6.74	Ect
-1	Ect
-8.97	Ect
-6.42	Ect
5.11	Ect
-9.15	Ect
1.78	Ect
2.52	Ect
-9.01	Ect
3.94	Ect
-3.65	Ect
2.07	Ect
1.86	Ect
0.29	Ect
1.32	Ect
-0.96	Ect
5.75	Ect
3.51	Ect
5.78	Ect
7.04	Ect
1.4	Ect
-4.42	Ect
0.81	Ect
3.97	Ect
-0.97	Ect
3.21	Ect
5.01	Ect
0.22	Ect
-0.64	Ect
1.64	Ect
-4.2	Ect
-0.05	Ect
6.68	Ect
2.11	Ect
3.33	Ect
2.37	Ect
7.03	Ect
4.27	Ect
2.15	Ect
6.09	Ect
-7.88	Ect
-2.41	Ect
-8.07	Ect
4.93	Ect
5.04	Ect
2.92	Ect
-2.66	Ect
-7.93	Ect
-7.17	Ect
6.23	Ect
2.69	Ect
6.46	Ect
-7.3	Ect
5.01	Ect
2.73	Ect
3.05	Ect
2.19	Ect
-8.95	Ect
-8.1	Ect
2.04	Ect
-4.34	Ect
-0.13	Ect
2.68	Ect
2.11	Ect
3.47	Ect
3.46	Ect
-8.52	Ect
-0.35	Ect
-8.25	Ect
-8.18	Ect
0.81	Ect
-1.18	Ect
1.01	Ect
2.24	Ect
4.02	Ect
6.5	Ect
-2.47	Ect
3.68	Ect
0.69	Ect
5.24	Ect
-1.65	Ect
1.36	Ect
-9.7	Ect
-8.44	Ect
3.58	Ect
-0.48	Ect
4.67	Ect
1.65	Ect
3.87	Ect
-0.28	Ect
-0.37	Ect
3.28	Ect
2.92	Ect
1.58	Ect
0.17	Ect
-1.04	Ect
3.69	Ect
0.83	Ect
-8.22	Ect
-8.05	Ect
3.26	Ect
0.86	Ect
3.76	Ect
4.35	Ect
4.85	Ect
1.53	Ect
3.02	Ect
-0.07	Ect
-4.76	Ect
-2.16	Ect
0.52	Ect
-9.94	Ect
-3.07	Ect
-1.22	Ect
1.82	Ect
2.01	Ect
-2.46	Ect
-3.66	Ect
-8.5	Ect
1.9	Ect
-6.04	Ect
1.48	Ect
-2.27	Ect
1.5	Ect
-4.01	Ect
5.02	Ect
-2.69	Ect
0.39	Ect
5.96	Ect
5.1	Ect
1.81	Ect
-1.8	Ect
-3.88	Ect
1.52	Ect
4.06	Ect
4.58	Ect
-6.97	Ect
1.29	Ect
-0.93	Ect
3.07	Ect
-1.87	Ect
4.9	Ect
3.49	Ect
-3.57	Ect
3.38	Ect
-1.86	Ect
-8.48	Ect
-1.77	Ect
6.21	Ect
5.12	Ect
4.07	Ect
-0.81	Ect
2.7	Ect
1.67	Ect
-1.98	Ect
1.17	Ect
0.97	Ect
0.64	Ect
2.36	Ect
8.66	Ect
4.26	Ect
-8.79	Ect
-0.1	Ect
-5.2	Ect
-5.05	Ect
5.27	Ect
-9.41	Ect
-9.11	Ect
3.23	Ect
2.07	Ect
-5.19	Ect
3.12	Ect
1.45	Ect
-0.71	Ect
0.63	Ect
-5.95	Ect
2.58	Ect
2.48	Ect
-8.8	Ect
4.52	Ect
2.27	Ect
-8.93	Ect
-3.11	Ect
-4.59	Ect
-1.85	Ect
0.39	Ect
3.2	Ect
-7.01	Ect
1.19	Ect
-6.03	Ect
-6.14	Ect
2.48	Ect
4.27	Ect
0.65	Ect
4.43	Ect
0.93	Ect
-8.4	Ect
0.71	Ect
-5.83	Ect
4.03	Ect
-3.51	Ect
-0.31	Ect
1.54	Ect
1.19	Ect
-1.41	Ect
0.92	Ect
-10.1	Ect
-3.33	Ect
-9.62	Ect
-9.96	Ect
2.84	Ect
3.42	Ect
1.69	Ect
2.55	Ect
4.89	Ect
-5.69	Ect
1.76	Ect
-1.98	Ect
-7.53	Ect
-7.35	Ect
-2.93	Ect
-6.89	Ect
-8.62	Ect
-6.17	Ect
-8.75	Ect
-2.63	Ect
-5.27	Ect
-0.93	Ect
3.96	Ect
1.44	Ect
3.21	Ect
3.27	Ect
5.64	Ect
-0.87	Ect
1.74	Ect
-8.51	Ect
-7.76	Ect
-2.47	Ect
-0.02	Ect
4.74	Ect
-2.23	Ect
5.73	Ect
8.36	Ect
-7.15	Ect
-2.26	Ect
-1.86	Ect
-0.03	Ect
2.01	Ect
2.45	Ect
1.1	Ect
6	Ect
4.31	Ect
-6.12	Ect
-7.32	Ect
-5.24	Ect
2.32	Ect
1.89	Ect
-0.45	Ect
3.35	Ect
-7	Ect
1.29	Ect
-8.3	Ect
-0.68	Ect
-1.38	Ect
-7.63	Ect
-6.72	Ect
1.5	Ect
4.13	Ect
2.69	Ect
6.58	Ect
3.65	Ect
6.07	Ect
2.86	Ect
-8.67	Ect
2.45	Ect
-7.52	Ect
-6.45	Ect
-6.88	Ect
-7.76	Ect
-7.21	Ect
-6.64	Ect
4.8	Ect
-6.61	Ect
-6.52	Ect
-6.45	Ect
-7.55	Ect
-6.81	Ect
-7.43	Ect
-4.3	Ect
0.8	Ect
2.97	Ect
-1	Ect
-2.66	Ect
1.8	Ect
-2.6	Ect
2.9	Ect
3.46	Ect
-3.53	Ect
1.37	Ect
4.59	Ect
5.36	Ect
2.75	Ect
1.65	Ect
0.13	Ect
3.91	Ect
2.7	Ect
1.33	Ect
-6.7	Ect
-7.85	Ect
3.63	Ect
4.46	Ect
7.52	Ect
4.05	Ect
4.3	Ect
6.02	Ect
-8.2	Ect
4.04	Ect
-5.51	Ect
2.83	Ect
-2.69	Ect
-7.66	Ect
-4.1	Ect
1.57	Ect
-8.49	Ect
-5.45	Ect
0.05	Ect
5.38	Ect
5.13	Ect
-0.61	Ect
-3.12	Ect
-7.49	Ect
1.6	Ect
-0.22	Ect
4.94	Ect
-7.33	Ect
-0.18	Ect
-8.14	Ect
3.65	Ect
-4.78	Ect
0.42	Ect
-3.49	Ect
0.39	Ect
2.33	Ect
3.17	Ect
-4.97	Ect
-1.78	Ect
2.62	Ect
2.89	Ect
-2.28	Ect
2.71	Ect
0.84	Ect
2.96	Ect
4.88	Ect
-0.06	Ect
1.35	Ect
1.16	Ect
2.98	Ect
3.5	Ect
2.34	Ect
2.79	Ect
9.94	Ect
0.85	Ect
4.53	Ect
-0.2	Ect
2.79	Ect
5.21	Ect
5.23	Ect
0.52	Ect
3.21	Ect
1.57	Ect
2.9	Ect
3.41	Ect
2.82	Ect
1.56	Ect
4.02	Ect
0.17	Ect
4.16	Ect
0.27	Ect
-7.36	Ect
4.87	Ect
3.91	Ect
-1.14	Ect
-1.22	Ect
3.45	Ect
4.42	Ect
-1.81	Ect
-0.08	Ect
1.55	Ect
4.53	Ect
-4.97	Ect
1.62	Ect
4.41	Ect
-8.37	Ect
6.37	Ect
0.72	Ect
-8.46	Ect
-9.31	Ect
-6.71	Ect
4.43	Ect
2.86	Ect
-2.53	Ect
0.07	Ect
2	Ect
0.34	Ect
4.03	Ect
7.25	Ect
0.21	Ect
-2.72	Ect
1.25	Ect
-7.12	Ect
2.62	Ect
0.83	Ect
1.44	Ect
-0.3	Ect
