GE	layer
-1.35	Ect
3.73	Ect
-0.38	Ect
-4.95	Ect
-1.83	Ect
-2.2	Ect
-4.99	Ect
-3.6	Ect
-0.82	Ect
-2.66	Ect
-3.76	Ect
-4.59	Ect
-3.01	Ect
-3.52	Ect
1.99	Ect
-2.36	Ect
-2.44	Ect
-1	Ect
-4.57	Ect
-0.44	Ect
-3.52	Ect
-0.9	Ect
-1.16	Ect
-2.96	Ect
-2.46	Ect
-1.3	Ect
-3.53	Ect
-3.21	Ect
-2.56	Ect
-0.81	Ect
1.67	Ect
-3.53	Ect
-1.17	Ect
-0.57	Ect
-2.65	Ect
-4.25	Ect
-1.93	Ect
-1.16	Ect
-2.08	Ect
-1.21	Ect
-5.03	Ect
-3.53	Ect
-2.35	Ect
-0.35	Ect
-4.76	Ect
-2.66	Ect
-4.07	Ect
0.5	Ect
-2.53	Ect
-3.53	Ect
0.11	Ect
-2.76	Ect
-3.39	Ect
-4.07	Ect
-2.14	Ect
-1.21	Ect
-3.21	Ect
-0.17	Ect
-2.74	Ect
-1.28	Ect
-2.26	Ect
-2.9	Ect
1.09	Ect
-2.18	Ect
-2.54	Ect
-3.05	Ect
-2.2	Ect
-2.28	Ect
0.27	Ect
-0.54	Ect
-2.28	Ect
-4.51	Ect
-2.77	Ect
-1.86	Ect
0.43	Ect
-1.68	Ect
-0.23	Ect
-4.09	Ect
-3.78	Ect
-2.45	Ect
-4.71	Ect
-3.29	Ect
-2.77	Ect
-2.65	Ect
-3.51	Ect
-0.94	Ect
-3.67	Ect
-3.92	Ect
0.25	Ect
8.63	Ect
2.62	Ect
0.31	Ect
-0.41	Ect
-2.43	Ect
-3.15	Ect
4.72	Ect
-3.65	Ect
2.68	Ect
0.81	Ect
-1.27	Ect
2.43	Ect
-4.97	Ect
4.63	Ect
-3.97	Ect
1.35	Ect
-2.78	Ect
-5.53	Ect
-2.02	Ect
6.28	Ect
1.76	Ect
-4.77	Ect
-3.09	Ect
-3.23	Ect
1.44	Ect
-2.01	Ect
-5.1	Ect
-3.2	Ect
-0.46	Ect
-2.61	Ect
-1.72	Ect
0.86	Ect
0.53	Ect
-3.95	Ect
-7.67	End
-8.36	End
-8.04	End
-9.43	End
-3.89	End
-4.12	End
-0.97	End
-8.24	End
-7.92	End
-6.55	End
-7.39	End
-7.42	End
-8.65	End
-8.09	End
-7.4	End
-8.4	End
-7.45	End
-7.36	End
-9.04	End
-8.21	End
-4.86	End
-9.31	End
-6.91	End
-7.33	End
-9.23	End
-8.9	End
-7.26	End
-6.68	End
-5.65	End
-7.13	End
-2.94	End
-8.01	End
-2.56	End
-5.08	End
-4.22	End
-7.91	End
-7.05	End
-5.07	End
-7.88	End
-6.38	End
-4.63	End
-7.51	End
-7.64	End
-5.9	End
-7.67	End
-8.39	End
-7.92	End
-5.47	End
-7.04	End
-7.2	End
-4.22	End
-5.78	End
-7.35	End
-6.62	End
-2.91	End
-8.86	End
-3.98	End
-5.3	End
-8.13	End
-1.62	End
-6.21	End
-6.89	End
-7.17	End
-8.58	End
-6.31	End
-6.6	End
-8.5	End
-3.54	End
-7.19	End
-7.55	End
-4.85	End
-9.59	End
-7.98	End
-1.34	End
-5.23	End
-9.07	End
-8.02	End
-7.04	End
-8.17	End
-9.99	End
-6.03	End
-8.41	End
-7.8	End
-7.86	End
-3.75	End
-7.49	End
-6.24	End
-7.97	End
-8.84	End
-7.53	End
-1.45	End
-8.39	End
-7.27	End
-7.33	End
-3.95	End
-2.8	End
-6.5	End
-8.27	End
-6.26	End
-7.58	End
-7.12	End
-8.42	End
-6.51	End
-2.83	End
-5.92	End
-3.5	End
-6.32	End
-6.56	End
-4.52	End
-6.65	End
6.33	End
-5.89	End
-7.23	End
-6.61	End
-7.79	End
-6.73	End
-7.35	End
-4.45	End
-5.72	End
-3.94	End
-4.3	End
-7.03	End
-4.74	End
-5.22	End
-7.42	End
-5.82	End
-4.03	End
-6.09	End
-6.92	End
-9.61	End
-6.65	End
-7.49	End
-8.37	End
-6.89	End
-7.71	End
-8.88	End
-1.18	End
-6.26	End
-7.69	End
-7.49	End
-8.01	End
-0.33	End
-0.63	End
-7.6	End
-6.83	End
-3.48	End
0.28	End
-6.82	End
-6.63	End
-6.22	End
-4.54	End
-6.96	End
-4	End
-6.3	End
-7.25	End
-7.3	End
-7.09	End
-7.38	End
-7.47	End
-8.06	End
-7.72	End
-8.02	End
-8.27	End
-6.94	End
-8.21	End
-1.85	End
-7.47	End
-7.18	End
-8.16	End
-4.9	End
-8.2	End
-7.3	End
-8.34	End
-8.15	End
-7.65	End
-6.07	End
-6.78	End
-6.46	End
-6.61	End
-8	End
-2.96	End
-6.02	End
-8.45	End
-9.2	End
-7.18	End
-0.18	End
-8.36	End
-8.21	End
-5.23	End
-1.62	End
-8.62	End
-8.3	End
-7.1	End
-7.82	End
2.63	End
-6.7	End
-6.83	End
-8.15	End
-2.3	End
-8.93	End
-7.34	End
-7.68	End
-7.71	End
-7.15	End
-4.98	End
-2.38	End
-7.76	End
-4.94	End
-5.03	End
-3.1	End
-6.04	End
-2.54	End
-6.14	End
-7.27	End
-8.14	End
-7.91	End
-4.95	End
-5.04	End
0.51	End
-8.03	End
-5.11	End
-6.46	End
-8.06	End
-7.38	End
-5.88	End
-7.11	End
-8.05	End
-7.41	End
-8.29	End
-8.28	End
-7.05	End
-6.9	End
-7.49	End
-7.21	End
-8.07	End
-6.79	End
-7.54	End
-7.62	End
-6.75	End
-5.55	End
-7.28	End
-7.32	End
-0.83	End
-7.17	End
-8.35	End
-7.64	End
-5.29	End
-6.3	End
-6.56	End
-6.19	End
-6.66	End
-7.07	End
-5.18	End
-6.19	End
-4.57	End
-7.41	End
-6.31	End
-7.76	End
-6.25	End
-5.07	End
-7.61	End
-6.9	End
-8.01	End
-5.36	End
-0.86	End
-1.39	End
-6.41	End
-7.44	End
-6.44	End
-7.4	End
-7.24	End
-5.49	End
-7.31	End
-6.41	End
-7.7	End
-7.16	End
-4.68	End
-6.1	End
-5.63	End
-1.46	End
-7.84	End
-7.58	End
-8.18	End
-0.38	End
-4.67	End
-2.77	End
-7.19	End
-5.86	End
-1.2	End
-6.67	End
-7.51	End
-2.18	End
-7.73	End
-6.79	End
-5.81	End
-6.14	End
-6.65	End
-6.54	End
-5.94	End
-4.14	End
-5.21	End
-7.95	End
-6.25	End
-5.89	End
-6.71	End
-8.33	End
-5.34	End
-8.13	End
-6.18	End
-8.14	End
-6.93	End
-3.28	End
-2.3	End
-9.02	End
-7.61	End
-3.01	End
-7.62	End
-6.84	End
-6.52	End
-7.1	End
-7.23	End
-7.01	End
-6.81	End
-6.18	End
-7.82	End
-7.95	End
-5.48	End
-5.48	End
-7.92	End
-6.72	End
-8.06	End
-2.76	End
-8.69	End
-7.7	End
-8.32	End
-2.95	End
-6.96	End
-6.94	End
-7.67	End
-6.72	End
-1.59	End
-6.3	End
-4.87	End
-5.32	End
-3.68	End
-5.46	End
-6.2	End
-6.75	End
-4.18	End
-4.3	End
-6.86	End
-7.65	End
-5.04	End
-3.81	End
-8.65	End
-7.07	End
-7.85	End
-6.47	End
-6.02	End
-6.24	End
-6.49	End
-6.5	End
-7.39	End
-6.56	End
-7.65	End
-6.47	End
-5.48	End
-6.95	End
-7.11	End
-5.63	End
-4.84	End
-8.12	End
-8.55	End
-7.7	End
-1.2	End
-0.48	End
-7.44	End
-2.39	End
-4.21	End
-4.61	End
-6.75	End
-4.5	End
-9.05	End
-6.94	End
-6.94	End
-6.97	End
-8.58	End
-8.96	End
-7.2	End
-2.26	End
-8.08	End
-7.73	End
-6.9	End
-6.14	End
-5.32	End
-6.05	End
-8.07	End
-9.11	End
-7.75	End
-6.72	End
-3.11	End
-6.18	End
0.63	End
-0.69	End
-1.1	End
-6.97	End
-6.96	End
2.29	End
-7.34	End
-6.13	End
-5.44	End
0.08	End
-7.86	End
-2.92	End
-8.39	End
-5.39	End
-5.97	End
-6.84	End
-7.78	End
-7.84	End
0.18	End
-3.37	End
-6.86	End
-8.01	End
-7.27	End
-6.3	End
-6.65	End
-6.11	End
-7.31	End
-7.92	End
-5.02	End
-5.26	End
-8.24	End
-4.42	End
-8.64	End
-5.54	End
-8.41	End
-6.01	End
-6.25	End
-5.95	End
-8.55	End
-6.8	End
-6.64	End
-6.2	End
-5.38	End
-0.85	End
-1.2	End
-3.96	End
-1.87	End
-7.15	End
-7.75	End
-7.72	End
-7.11	End
-7.57	End
-3.91	End
-7.62	End
-6.64	End
-4.96	End
-7.52	End
-8.6	End
-3.28	End
-7.09	End
-7.51	End
-6.87	End
-7.18	End
-7.69	End
