GE	layer
-2.01	Ect
2	Ect
-5.32	Ect
-3.14	Ect
-6.6	Ect
-4.74	Ect
-5.58	Ect
-6.03	Ect
-6.85	Ect
-8.82	Ect
-8.04	Ect
-8.27	Ect
-8.75	Ect
-4.18	Ect
0.71	Ect
1.98	Ect
-7.95	Ect
1.02	Ect
-6.64	Ect
1.76	Ect
-9.07	Ect
-7.87	Ect
0.8	Ect
-9.04	Ect
-10.62	Ect
-8.35	Ect
-5.79	Ect
-0.63	Ect
-8.35	Ect
-8.13	Ect
-4.27	Ect
-5.37	Ect
-3.18	Ect
-2.63	Ect
-7.73	Ect
-3.32	Ect
-8.79	Ect
-7.65	Ect
-8.22	Ect
1.89	Ect
-5.86	Ect
-9.39	Ect
-4.63	Ect
-9.09	Ect
-6.38	Ect
-8.56	Ect
-9.12	Ect
-8.5	Ect
-1.13	Ect
2.59	Ect
-1.91	Ect
-7.6	Ect
-5.24	Ect
-5.14	Ect
-10.19	Ect
-7.42	Ect
2.08	Ect
-1.21	Ect
-6.63	Ect
-4.45	Ect
-9.62	Ect
-7.85	Ect
0.62	Ect
-3.2	Ect
-5.39	Ect
-2.55	Ect
-8.97	Ect
-7.64	Ect
-6.7	Ect
-10.07	Ect
-5.69	Ect
-8.25	Ect
-6.32	Ect
-8.02	Ect
-7.22	Ect
-8.32	Ect
-4.53	Ect
0.63	Ect
-4.86	Ect
-3.53	Ect
-6.25	Ect
-7.53	Ect
-9.27	Ect
-2.44	Ect
-7.12	Ect
-2.26	Ect
-5.82	Ect
-8.22	Ect
-2.4	Ect
-7	Ect
-0.73	Ect
-6.29	Ect
-8.61	Ect
-3.03	Ect
-5.06	Ect
-2.12	Ect
-8.82	Ect
-9.35	Ect
-2.44	Ect
-5.99	Ect
-7.62	Ect
-7.88	Ect
-3.03	Ect
-4.41	Ect
-8.09	Ect
-5.86	Ect
-8.64	Ect
-7.58	Ect
-1.39	Ect
-7.88	Ect
-0.48	Ect
-8.21	Ect
-9.38	Ect
0.12	Ect
-2.97	Ect
-3.05	Ect
-1.5	Ect
-9.64	Ect
-5.55	Ect
-10.46	Ect
-4.36	Ect
-6.9	Ect
-8.31	Ect
-5.91	Ect
